date,time,cpu_load,idle_time_cpu,kernal_process_time_cpu,normal_process_time_usermode_cpu,freq_max,freq_min,disk_usage_total,disk_usage_used,disk_usage_free,disk_usage_in_percent,disk_reading_count,disk_writing_count,disk_reading_bytes,disk_writing_bytes
15-02-2022,10:05:41,24.5,352.48,25.24,97.62,0.0,0.0,14,10,3,77.5,36972,6042,1500687360,421229568
15-02-2022,10:05:42,25.5,353.22,25.29,97.82,0.0,0.0,14,10,3,77.5,36977,6042,1500822528,421229568
15-02-2022,10:05:43,9.2,353.91,25.32,98.04,0.0,0.0,14,10,3,77.5,36977,6044,1500822528,421364736
15-02-2022,10:05:44,1.0,354.8,25.33,98.12,0.0,0.0,14,10,3,77.5,36977,6044,1500822528,421364736
15-02-2022,10:05:45,4.1,355.76,25.33,98.14,0.0,0.0,14,10,3,77.5,36977,6044,1500822528,421364736
15-02-2022,10:05:46,1.0,356.7,25.34,98.18,0.0,0.0,14,10,3,77.5,36977,6044,1500822528,421364736
15-02-2022,10:05:47,3.1,357.66,25.34,98.19,0.0,0.0,14,10,3,77.5,36977,6045,1500822528,421372928
15-02-2022,10:05:48,2.1,358.61,25.34,98.22,0.0,0.0,14,10,3,77.5,36977,6045,1500822528,421372928
15-02-2022,10:05:49,2.0,359.56,25.34,98.24,0.0,0.0,14,10,3,77.5,36977,6045,1500822528,421372928
15-02-2022,10:05:50,4.1,360.52,25.34,98.26,0.0,0.0,14,10,3,77.5,36977,6045,1500822528,421372928
15-02-2022,10:05:51,2.0,361.46,25.35,98.3,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:52,3.0,362.42,25.35,98.32,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:53,2.1,363.38,25.36,98.36,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:54,4.0,364.33,25.36,98.38,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:55,1.0,365.28,25.36,98.42,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:56,3.1,366.24,25.36,98.44,0.0,0.0,14,10,3,77.5,36977,6146,1500822528,422110208
15-02-2022,10:05:57,4.0,367.17,25.36,98.48,0.0,0.0,14,10,3,77.5,36978,6149,1500859392,422155264
15-02-2022,10:05:58,1.0,368.13,25.37,98.51,0.0,0.0,14,10,3,77.5,36978,6149,1500859392,422155264
15-02-2022,10:05:59,2.1,369.09,25.37,98.52,0.0,0.0,14,10,3,77.5,36978,6149,1500859392,422155264
15-02-2022,10:06:00,2.0,370.04,25.38,98.55,0.0,0.0,14,10,3,77.5,36978,6149,1500859392,422155264
15-02-2022,10:06:01,4.2,371.0,25.38,98.58,0.0,0.0,14,10,3,77.5,36978,6149,1500859392,422155264
15-02-2022,10:06:02,3.0,371.91,25.38,98.63,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:03,3.1,372.87,25.39,98.66,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:04,4.1,373.81,25.4,98.69,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:05,3.0,374.74,25.4,98.74,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:06,1.0,375.7,25.42,98.76,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:07,2.1,376.66,25.42,98.77,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:08,3.1,377.61,25.42,98.8,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:09,2.0,378.56,25.44,98.83,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:10,29.9,379.52,25.45,98.85,0.0,0.0,14,10,3,77.5,36978,6151,1500859392,422175744
15-02-2022,10:06:11,1.0,380.16,25.5,99.1,0.0,0.0,14,10,3,77.5,37092,6151,1503038464,422175744
15-02-2022,10:06:12,2.0,381.11,25.5,99.11,0.0,0.0,14,10,3,77.5,37092,6193,1503038464,423982080
15-02-2022,10:06:13,2.0,382.07,25.51,99.13,0.0,0.0,14,10,3,77.5,37092,6193,1503038464,423982080
15-02-2022,10:06:14,1.0,383.03,25.51,99.15,0.0,0.0,14,10,3,77.5,37092,6193,1503038464,423982080
